"from","to","weight"
"Kate Starbird","Ahmer Arif",2
"Ahmer Arif","Katherine Van Koevering",2
"Ahmer Arif","Katya Yefimova",2
"Ahmer Arif","Tom Wilson 0003",2
"Ahmet Erdem Sariyüce","Ali Pinar",2
"Ricky Laishram","Ahmet Erdem Sariyüce",2
"Seyed-Vahid Sanei-Mehri","Ahmet Erdem Sariyüce",2
"Ahmet Erdem Sariyüce","Srikanta Tirthapura",2
"Ahmet Erdem Sariyüce","Sucheta Soundarajan",2
"Ahmet Erdem Sariyüce","Tina Eliassi-Rad",2
"Selim Ozcan","Ahmet Fatih Mustacoglu",2
"Ahmet Furkan Aydogan","Bing Zhou 0002",2
"Ahmet Kara 0002","Dan Olteanu",2
"Iman Elghandour","Ahmet Kara 0002",2
"Ahmet Kara 0002","Stijn Vansummeren",2
"Ahmet Soylu","Arild Waaler",2
"Dag Hovland","Ahmet Soylu",2
"Ernesto Jiménez-Ruiz","Ahmet Soylu",2
"Evgeny Kharlamov","Ahmet Soylu",2
"Guohui Xiao 0001","Ahmet Soylu",2
"Ahmet Soylu","Ian Horrocks",2
"Martin G. Skjæveland","Ahmet Soylu",2
"Theofilos Mailis","Ahmet Soylu",2
"Larry González","Aidan Hogan",2
"Aiden Chia","Bernard Cheng",2
"Masoumeh Izadi","Aiden Chia",2
"Aiden Chia","Shangjing Wu",2
"Chenglin Miao","Aidong Zhang",2
"Fenglong Ma","Aidong Zhang",2
"Guangxu Xun","Aidong Zhang",2
"Jing Gao 0004","Aidong Zhang",2
"Jing Zhou","Aidong Zhang",2
"Kishlay Jha","Aidong Zhang",2
"Lu Su","Aidong Zhang",2
"Mengdi Huai","Aidong Zhang",2
"Qiuling Suo","Aidong Zhang",4
"Quanzeng You","Aidong Zhang",2
"Vishrawas Gopalakrishnan","Aidong Zhang",2
"Yaliang Li","Aidong Zhang",2
"Yaqing Wang","Aidong Zhang",2
"Aijun An","Gordon Edall",2
"Heidar Davoudi","Aijun An",2
"Aijun An","Morteza Zihayat",2
"Sedigheh Mahdavi","Aijun An",2
"Shima Khoshraftar","Aijun An",2
"Aleksey Charapko","Ailidani Ailijiang",2
"Ailidani Ailijiang","Murat Demirbas",2
"Linglan Zhang","Ailin Chen",2
"Ailin Chen","Mei Mei",2
"Weina Meng","Ailin Chen",2
"Ailin Chen","Ying Liu",2
"Aindrila Ghosh","Chad Marston",2
"Aindrila Ghosh","James Miller 0001",2
"Aindrila Ghosh","Jean-François Puget",2
"Mona Nashaat","Aindrila Ghosh",2
"Aindrila Ghosh","Shaikh Quader",2
"Aishwarya Srivastava","Amy W. Apon",2
"Aishwarya Srivastava","André Luckow",2
"Aishwarya Srivastava","Dung Nguyen",2
"Aishwarya Srivastava","Edward B. Duffy",2
"Aishwarya Srivastava","Ken Kennedy",2
"Aishwarya Srivastava","Marcin Ziolkowski",2
"Aishwarya Srivastava","Siddhant Aggarwal",2
"Aixin Sun","Jialong Han",2
"Jianglei Han","Aixin Sun",2
"Ka Hian Goh","Aixin Sun",2
"Aixin Sun","Mohammad Akbari 0001",2
"Aixin Sun","Xiaoyan Zhu",2
"Yequan Wang","Aixin Sun",2
"Aixin Sun","Ying Liu 0004",2
"David Ellison","Ajay Dholakia",2
"Miro Hodak","Ajay Dholakia",2
"Peter Seidel","Ajay Dholakia",2
"Changji Shi","Ajith Muralidharan",2
"Curtis Wang","Ajith Muralidharan",2
"Jinyun Yan","Ajith Muralidharan",2
"P. J. Xiao","Ajith Muralidharan",2
"Rómer Rosales","Ajith Muralidharan",2
"Ajith Muralidharan","Shaunak Chatterjee",2
"Shipeng Yu","Ajith Muralidharan",2
"Viral Gupta","Ajith Muralidharan",2
"Yan Gao","Ajith Muralidharan",2
"Zhongen Tao","Ajith Muralidharan",2
"Ajith Ramanathan","Alexander Bonomo",2
"Ajith Ramanathan","Ed H. Chi",2
"Ajith Ramanathan","Jennifer Gillenwater",2
"Mark Wilhelm","Ajith Ramanathan",2
"Ajith Ramanathan","Sagar Jain",2
"Yuvraj S. Sethi","Akash R. Nambiar",2
"Jianjun Zheng","Akbar Siami Namin",2
"Moitrayee Chatterjee","Akbar Siami Namin",4
"Akbar Siami Namin","Prerit Datta",4
"Akhilesh Vyas","Akmal Khikmatullaev",2
"Andreas Both","Akhilesh Vyas",2
"Arun Sethupat Radhakrishna","Akhilesh Vyas",2
