2015,"Real Time Recommendations from Connoisseurs.",KDD,"Noriaki Kawamae"
2016,"Safe Pattern Pruning: An Efficient Approach for Predictive Pattern Mining.",KDD,"Kazuya Nakagawa,Shinya Suzumura,Masayuki Karasuyama,Koji Tsuda,Ichiro Takeuchi"
2005,"Discovering evolutionary theme patterns from text: an exploration of temporal text mining.",KDD,"Qiaozhu Mei,ChengXiang Zhai"
2018,"How LinkedIn Economic Graph Bonds Information and Product: Applications in LinkedIn Salary.",KDD,"Xi Chen 0049,Yiqun Liu 0010,Liang Zhang 0021,Krishnaram Kenthapadi"
2015,"On the Discovery of Evolving Truth.",KDD,"Yaliang Li,Qi Li 0012,Jing Gao 0004,Lu Su,Bo Zhao 0001,Wei Fan 0001,Jiawei Han 0001"
2020,"Predicting Temporal Sets with Deep Neural Networks.",KDD,"Le Yu,Leilei Sun,Bowen Du,Chuanren Liu,Hui Xiong 0001,Weifeng Lv"
2007,"Applying collaborative filtering techniques to movie search for better ranking and browsing.",KDD,"Seung-Taek Park,David M. Pennock"
2020,"AutoML Pipeline Selection: Efficiently Navigating the Combinatorial Space.",KDD,"Chengrun Yang,Jicong Fan,Ziyang Wu,Madeleine Udell"
2013,"Collaborative matrix factorization with multiple similarities for predicting drug-target interactions.",KDD,"Xiaodong Zheng,Hao Ding,Hiroshi Mamitsuka,Shanfeng Zhu"
2015,"Data Driven Science: SIGKDD Panel.",KDD,"Katharina Morik,Hugh F. Durrant-Whyte,Gary C. Hill,Dietmar Müller,Tanya Y. Berger-Wolf"
2019,"Precipitation Nowcasting with Satellite Imagery.",KDD,"Vadim Lebedev,Vladimir Ivashkin,Irina Rudenko,Alexander Ganshin,Alexander Molchanov,Sergey Ovcharenko,Ruslan Grokhovetskiy,Ivan Bushmarinov,Dmitry Solomentsev"
2019,"Figuring out the User in a Few Steps: Bayesian Multifidelity Active Search with Cokriging.",KDD,"Nikita Klyuchnikov,Davide Mottin,Georgia Koutrika,Emmanuel Müller,Panagiotis Karras"
2020,"Innovating with Language AI.",KDD,"Ashwin Ram"
2020,"Meta-learning on Heterogeneous Information Networks for Cold-start Recommendation.",KDD,"Yuanfu Lu,Yuan Fang 0001,Chuan Shi"
2013,"Multi-label relational neighbor classification using social context features.",KDD,"Xi Wang,Gita Sukthankar"
2012,"Active sampling for entity matching.",KDD,"Kedar Bellare,Suresh Iyengar,Aditya G. Parameswaran,Vibhor Rastogi"
2016,"Repeat Buyer Prediction for E-Commerce.",KDD,"Guimei Liu,Tam T. Nguyen,Gang Zhao,Wei Zha,Jianbo Yang,Jianneng Cao,Min Wu 0008,Peilin Zhao,Wei Chen"
2016,"ABRA: Approximating Betweenness Centrality in Static and Dynamic Graphs with Rademacher Averages.",KDD,"Matteo Riondato,Eli Upfal"
2009,"Improving classification accuracy using automatically extracted training data.",KDD,"Ariel Fuxman,Anitha Kannan,Andrew B. Goldberg,Rakesh Agrawal 0001,Panayiotis Tsaparas,John C. Shafer"
2005,"Determining an author's native language by mining a text for errors.",KDD,"Moshe Koppel,Jonathan Schler,Kfir Zigdon"
2005,"Data mining in the chemical industry.",KDD,"Alex N. Kalos,Tim Rey"
2000,"Distributed and parallel knowledge discovery (workshop session - title only).",KDD,"Hillol Kargupta,Philip Chan,Vipin Kumar,Zoran Obradovic"
2020,"XGNN: Towards Model-Level Explanations of Graph Neural Networks.",KDD,"Hao Yuan,Jiliang Tang,Xia Hu,Shuiwang Ji"
1998,"Mining Databases with Different Schemas: Integrating Incompatible Classifiers.",KDD,"Andreas L. Prodromidis,Salvatore J. Stolfo"
2016,"Text Mining in Clinical Domain: Dealing with Noise.",KDD,"Hoang Nguyen,Jon Patrick"
2007,"Expertise modeling for matching papers with reviewers.",KDD,"David M. Mimno,Andrew McCallum"
2014,"Efficient multi-task feature learning with calibration.",KDD,"Pinghua Gong,Jiayu Zhou,Wei Fan,Jieping Ye"
2005,"Detection of emerging space-time clusters.",KDD,"Daniel B. Neill,Andrew W. Moore 0001,Maheshkumar Sabhnani,Kenny Daniel"
2004,"Efficient closed pattern mining in the presence of tough block constraints.",KDD,"Krishna Gade,Jianyong Wang 0001,George Karypis"
1996,"DBMiner: A System for Mining Knowledge in Large Relational Databases.",KDD,"Jiawei Han 0001,Yongjian Fu,Wei Wang 0009,Jenny Chiang,Wan Gong,Krzysztof Koperski,Deyi Li,Yijun Lu,Amynmohamed Rajan,Nebojsa Stefanovic,Betty Xia,Osmar R. Zaïane"
2016,"Compute Job Memory Recommender System Using Machine Learning.",KDD,"Taraneh Taghavi,Maria Lupetini,Yaron Kretchmer"
2019,"CoSTCo: A Neural Tensor Completion Model for Sparse Tensors.",KDD,"Hanpeng Liu,Yaguang Li,Michael Tsang,Yan Liu 0002"
2017,"Not All Passes Are Created Equal: Objectively Measuring the Risk and Reward of Passes in Soccer from Tracking Data.",KDD,"Paul Power,Héctor Ruiz,Xinyu Wei,Patrick Lucey"
2019,"ProGAN: Network Embedding via Proximity Generative Adversarial Network.",KDD,"Hongchang Gao,Jian Pei,Heng Huang"
2002,"A system for real-time competitive market intelligence.",KDD,"Sholom M. Weiss,Naval K. Verma"
2020,"Block Model Guided Unsupervised Feature Selection.",KDD,"Zilong Bai,Hoa Nguyen,Ian Davidson"
2010,"k-Support anonymity based on pseudo taxonomy for outsourcing of frequent itemset mining.",KDD,"Chih-Hua Tai,Philip S. Yu,Ming-Syan Chen"
2006,"Robust information-theoretic clustering.",KDD,"Christian Böhm,Christos Faloutsos,Jia-Yu Pan,Claudia Plant"
2020,"Context-Aware Attentive Knowledge Tracing.",KDD,"Aritra Ghosh 0001,Neil T. Heffernan,Andrew S. Lan"
2017,"Discovering Reliable Approximate Functional Dependencies.",KDD,"Panagiotis Mandros,Mario Boley,Jilles Vreeken"
2013,"Extracting social events for learning better information diffusion models.",KDD,"Shuyang Lin,Fengjiao Wang,Qingbo Hu,Philip S. Yu"
2019,"AtSNE: Efficient and Robust Visualization on GPU through Hierarchical Optimization.",KDD,"Cong Fu,Yonghui Zhang,Deng Cai 0001,Xiang Ren"
2017,"A Minimal Variance Estimator for the Cardinality of Big Data Set Intersection.",KDD,"Reuven Cohen,Liran Katzir 0001,Aviv Yehezkel"
2010,"DUST: a generalized notion of similarity between uncertain time series.",KDD,"Smruti R. Sarangi,Karin Murthy"
2018,"Model-based Clustering of Short Text Streams.",KDD,"Jianhua Yin,Daren Chao,Zhongkun Liu,Wei Zhang 0056,Xiaohui Yu 0001,Jianyong Wang 0001"
1996,"Growing Simpler Decision Trees to Facilitate Knowledge Discovery.",KDD,"Kevin J. Cherkauer,Jude W. Shavlik"
2016,"People, Computers, and The Hot Mess of Real Data.",KDD,"Joseph M. Hellerstein"
2017,"LiJAR: A System for Job Application Redistribution towards Efficient Career Marketplace.",KDD,"Fedor Borisyuk,Liang Zhang 0021,Krishnaram Kenthapadi"
2020,"Retrospective Loss: Looking Back to Improve Training of Deep Neural Networks.",KDD,"Surgan Jandial,Ayush Chopra,Mausoom Sarkar,Piyush Gupta,Balaji Krishnamurthy,Vineeth Balasubramanian"
1996,"Using a Hybrid Neural/Expert System for Data Base Mining in Market Survey Data.",KDD,"Victor Ciesielski,Gregory Palstra"
2016,"Smart Reply: Automated Response Suggestion for Email.",KDD,"Anjuli Kannan,Karol Kurach,Sujith Ravi,Tobias Kaufmann,Andrew Tomkins,Balint Miklos,Greg Corrado,László Lukács,Marina Ganea,Peter Young,Vivek Ramavajjala"
2020,"Effective Transfer Learning for Identifying Similar Questions: Matching User Questions to COVID-19 FAQs.",KDD,"Clara H. McCreery,Namit Katariya,Anitha Kannan,Manish Chablani,Xavier Amatriain"
2013,"Constrained stochastic gradient descent for large-scale least squares problem.",KDD,"Yang Mu,Wei Ding 0003,Tianyi Zhou,Dacheng Tao"
2009,"Large-scale sparse logistic regression.",KDD,"Jun Liu 0003,Jianhui Chen,Jieping Ye"
2018,"Scalable Query N-Gram Embedding for Improving Matching and Relevance in Sponsored Search.",KDD,"Xiao Bai 0002,Erik Ordentlich,Yuanyuan Zhang,Andy Feng,Adwait Ratnaparkhi,Reena Somvanshi,Aldi Tjahjadi"
2016,"A Real Linear and Parallel Multiple Longest Common Subsequences (MLCS) Algorithm.",KDD,"Yanni Li,Hui Li,Tihua Duan,Sheng Wang,Zhi Wang,Yang Cheng"
2019,"Product Ecosystem Optimization at LinkedIn.",KDD,"Rómer Rosales"
2018,"Multi-Pointer Co-Attention Networks for Recommendation.",KDD,"Yi Tay,Anh Tuan Luu,Siu Cheung Hui"
2015,"Efficient PageRank Tracking in Evolving Networks.",KDD,"Naoto Ohsaka,Takanori Maehara,Ken-ichi Kawarabayashi"
2009,"Characteristic relational patterns.",KDD,"Arne Koopman,Arno Siebes"
2006,"Automatic mining of fruit fly embryo images.",KDD,"Jia-Yu Pan,André G. R. Balan,Eric P. Xing,Agma J. M. Traina,Christos Faloutsos"
2007,"Privacy-preservation for gradient descent methods.",KDD,"Li Wan,Wee Keong Ng,Shuguo Han,Vincent C. S. Lee"
2016,"Fast Unsupervised Online Drift Detection Using Incremental Kolmogorov-Smirnov Test.",KDD,"Denis Moreira dos Reis,Peter A. Flach,Stan Matwin,Gustavo E. A. P. A. Batista"
2015,"Deep Learning Architecture with Dynamically Programmed Layers for Brain Connectome Prediction.",KDD,"Vivek Veeriah,Rohit Durvasula,Guo-Jun Qi"
2019,"Mining and Model Understanding on Medical Data.",KDD,"Myra Spiliopoulou,Panagiotis Papapetrou"
2007,"Tracking multiple topics for finding interesting articles.",KDD,"Raymond K. Pon,Alfonso F. Cardenas,David Buttler,Terence Critchlow"
1999,"Generalized Additive Neural Networks.",KDD,"William J. E. Potts"
2014,"Deep learning.",KDD,"Ruslan Salakhutdinov"
2013,"Understanding evolution of research themes: a probabilistic generative model for citations.",KDD,"Xiaolong Wang 0009,Chengxiang Zhai,Dan Roth"
2013,"An efficient ADMM algorithm for multidimensional anisotropic total variation regularization problems.",KDD,"Sen Yang,Jie Wang 0005,Wei Fan,Xiatian Zhang,Peter Wonka,Jieping Ye"
2018,"Accelerated Equivalence Structure Extraction via Pairwise Incremental Search.",KDD,"Seiya Satoh,Yoshinobu Takahashi,Hiroshi Yamakawa"
2006,"K-means clustering versus validation measures: a data distribution perspective.",KDD,"Hui Xiong 0001,Junjie Wu 0002,Jian Chen 0016"
2018,"Deep Interest Network for Click-Through Rate Prediction.",KDD,"Guorui Zhou,Xiaoqiang Zhu,Chengru Song,Ying Fan,Han Zhu,Xiao Ma,Yanghui Yan,Junqi Jin,Han Li,Kun Gai"
2019,"Disambiguation Enabled Linear Discriminant Analysis for Partial Label Dimensionality Reduction.",KDD,"Jing-Han Wu,Min-Ling Zhang"
2020,"Adversarial Infidelity Learning for Model Interpretation.",KDD,"Jian Liang,Bing Bai,Yuren Cao,Kun Bai,Fei Wang"
2020,"An Embarrassingly Simple Approach for Trojan Attack in Deep Neural Networks.",KDD,"Ruixiang Tang,Mengnan Du,Ninghao Liu,Fan Yang 0023,Xia Hu"
1998,"Discovering Predictive Association Rules.",KDD,"Nimrod Megiddo,Ramakrishnan Srikant"
2011,"Axiomatic ranking of network role similarity.",KDD,"Ruoming Jin,Victor E. Lee,Hui Hong"
1998,"CLOUDS: A Decision Tree Classifier for Large Datasets.",KDD,"Khaled Alsabti,Sanjay Ranka,Vineet Singh"
2015,"Learning with Similarity Functions on Graphs using Matchings of Geometric Embeddings.",KDD,"Fredrik D. Johansson,Devdatt P. Dubhashi"
2008,"Scaling up text classification for large file systems.",KDD,"George Forman,Shyamsundar Rajaram"
1999,"A Classification-Based Methodology for Planning Audit Strategies in Fraud Detection.",KDD,"Francesco Bonchi,Fosca Giannotti,Gianni Mainetto,Dino Pedreschi"
2014,"Bringing structure to text: mining phrases, entities, topics, and hierarchies.",KDD,"Jiawei Han 0001,Chi Wang 0001,Ahmed El-Kishky"
2007,"BoostCluster: boosting clustering by pairwise constraints.",KDD,"Yi Liu 0054,Rong Jin,Anil K. Jain 0001"
2020,"SSumM: Sparse Summarization of Massive Graphs.",KDD,"Kyuhan Lee,Hyeonsoo Jo,Jihoon Ko,Sungsu Lim,Kijung Shin"
2000,"Among those dark electronic mills: privacy and data mining (invited talk, abstract only).",KDD,"Jason Catlett"
2019,"Fast and Accurate Anomaly Detection in Dynamic Graphs with a Two-Pronged Approach.",KDD,"Minji Yoon,Bryan Hooi,Kijung Shin,Christos Faloutsos"
2020,"Grale: Designing Networks for Graph Learning.",KDD,"Jonathan Halcrow,Alexandru Mosoi,Sam Ruth,Bryan Perozzi"
2020,"Faster Secure Data Mining via Distributed Homomorphic Encryption.",KDD,"Junyi Li,Heng Huang"
2017,"TrioVecEvent: Embedding-Based Online Local Event Detection in Geo-Tagged Tweet Streams.",KDD,"Chao Zhang 0014,Liyuan Liu,Dongming Lei,Quan Yuan 0001,Honglei Zhuang,Tim Hanratty,Jiawei Han 0001"
